Side,Type,Metric,Value,relation_id,relation_label,model
tail,optimistic,z_arithmetic_mean_rank,51.55021826598609,0,P31,distmult
both,optimistic,z_arithmetic_mean_rank,62.20167046165323,0,P31,distmult
head,realistic,z_arithmetic_mean_rank,36.41597722720344,0,P31,distmult
tail,realistic,z_arithmetic_mean_rank,51.55021810930362,0,P31,distmult
both,realistic,z_arithmetic_mean_rank,62.201669033390424,0,P31,distmult
head,pessimistic,z_arithmetic_mean_rank,36.41597693226201,0,P31,distmult
tail,pessimistic,z_arithmetic_mean_rank,51.5502179084931,0,P31,distmult
both,pessimistic,z_arithmetic_mean_rank,62.2016690123246,0,P31,distmult
head,optimistic,harmonic_mean_rank,2013.2480369975183,0,P31,distmult
tail,optimistic,harmonic_mean_rank,1.5064403436399039,0,P31,distmult
both,optimistic,harmonic_mean_rank,3.0106279437971963,0,P31,distmult
head,realistic,harmonic_mean_rank,2013.2480681518957,0,P31,distmult
tail,realistic,harmonic_mean_rank,1.5064405182296978,0,P31,distmult
both,realistic,harmonic_mean_rank,3.0106281323668775,0,P31,distmult
head,pessimistic,harmonic_mean_rank,2013.2480482155506,0,P31,distmult
tail,pessimistic,harmonic_mean_rank,1.5064403436407363,0,P31,distmult
both,pessimistic,harmonic_mean_rank,3.0106279438114014,0,P31,distmult
head,optimistic,inverse_harmonic_mean_rank,0.0004967097851943579,0,P31,distmult
tail,optimistic,inverse_harmonic_mean_rank,0.6638165289597673,0,P31,distmult
both,optimistic,inverse_harmonic_mean_rank,0.33215661937248087,0,P31,distmult
head,realistic,inverse_harmonic_mean_rank,0.000496709777507931,0,P31,distmult
tail,realistic,inverse_harmonic_mean_rank,0.6638164520263672,0,P31,distmult
both,realistic,inverse_harmonic_mean_rank,0.33215659856796265,0,P31,distmult
head,pessimistic,inverse_harmonic_mean_rank,0.0004967097824266381,0,P31,distmult
tail,pessimistic,inverse_harmonic_mean_rank,0.6638165289594005,0,P31,distmult
both,pessimistic,inverse_harmonic_mean_rank,0.3321566193709136,0,P31,distmult
head,optimistic,inverse_geometric_mean_rank,4.300229312433797e-06,0,P31,distmult
tail,optimistic,inverse_geometric_mean_rank,0.18631002821378614,0,P31,distmult
both,optimistic,inverse_geometric_mean_rank,0.0008950842667175484,0,P31,distmult
head,realistic,inverse_geometric_mean_rank,4.300230102671776e-06,0,P31,distmult
tail,realistic,inverse_geometric_mean_rank,0.1863100379705429,0,P31,distmult
both,realistic,inverse_geometric_mean_rank,0.0008950837654992938,0,P31,distmult
head,pessimistic,inverse_geometric_mean_rank,4.300228543570714e-06,0,P31,distmult
tail,pessimistic,inverse_geometric_mean_rank,0.1863100199183919,0,P31,distmult
both,pessimistic,inverse_geometric_mean_rank,0.0008950841667722076,0,P31,distmult
head,optimistic,variance,637721008923.7915,0,P31,distmult
tail,optimistic,variance,61971061121.85652,0,P31,distmult
both,optimistic,variance,471575575292.83545,0,P31,distmult
head,realistic,variance,637721051136.0,0,P31,distmult
tail,realistic,variance,61971075072.0,0,P31,distmult
both,realistic,variance,471575658496.0,0,P31,distmult
head,pessimistic,variance,637721134609.398,0,P31,distmult
tail,pessimistic,variance,61971100298.849365,0,P31,distmult
both,pessimistic,variance,471575679194.7581,0,P31,distmult
head,optimistic,median_rank,379597.0,0,P31,distmult
tail,optimistic,median_rank,1.0,0,P31,distmult
both,optimistic,median_rank,3202.0,0,P31,distmult
head,realistic,median_rank,379597.0,0,P31,distmult
tail,realistic,median_rank,1.0,0,P31,distmult
both,realistic,median_rank,3202.0,0,P31,distmult
head,pessimistic,median_rank,379597.0,0,P31,distmult
tail,pessimistic,median_rank,1.0,0,P31,distmult
both,pessimistic,median_rank,3202.0,0,P31,distmult
head,optimistic,inverse_median_rank,2.634372769015561e-06,0,P31,distmult
tail,optimistic,inverse_median_rank,1.0,0,P31,distmult
both,optimistic,inverse_median_rank,0.0003123048094940662,0,P31,distmult
head,realistic,inverse_median_rank,2.6343727768107783e-06,0,P31,distmult
tail,realistic,inverse_median_rank,1.0,0,P31,distmult
both,realistic,inverse_median_rank,0.00031230482272803783,0,P31,distmult
head,pessimistic,inverse_median_rank,2.634372769015561e-06,0,P31,distmult
tail,pessimistic,inverse_median_rank,1.0,0,P31,distmult
