Side,Type,Metric,Value,relation_id,relation_label,model
head,pessimistic,median_rank,1743290.0,0,P31,simple
tail,pessimistic,median_rank,491.5,0,P31,simple
both,pessimistic,median_rank,216954.0,0,P31,simple
head,optimistic,inverse_median_rank,5.736281896954006e-07,0,P31,simple
tail,optimistic,inverse_median_rank,0.002034587995930824,0,P31,simple
both,optimistic,inverse_median_rank,4.609272011578492e-06,0,P31,simple
head,realistic,inverse_median_rank,5.736280854762299e-07,0,P31,simple
tail,realistic,inverse_median_rank,0.0020345880184322596,0,P31,simple
both,realistic,inverse_median_rank,4.609271854860708e-06,0,P31,simple
head,pessimistic,inverse_median_rank,5.736280251707978e-07,0,P31,simple
tail,pessimistic,inverse_median_rank,0.002034587995930824,0,P31,simple
both,pessimistic,inverse_median_rank,4.609272011578492e-06,0,P31,simple
head,optimistic,adjusted_arithmetic_mean_rank_index,0.21124082920560072,0,P31,simple
tail,optimistic,adjusted_arithmetic_mean_rank_index,0.9631744326098785,0,P31,simple
both,optimistic,adjusted_arithmetic_mean_rank_index,0.5872138189649638,0,P31,simple
head,realistic,adjusted_arithmetic_mean_rank_index,0.21124069304430715,0,P31,simple
tail,realistic,adjusted_arithmetic_mean_rank_index,0.9631744174860952,0,P31,simple
both,realistic,adjusted_arithmetic_mean_rank_index,0.5872137271089197,0,P31,simple
head,pessimistic,adjusted_arithmetic_mean_rank_index,0.21124059155054564,0,P31,simple
tail,pessimistic,adjusted_arithmetic_mean_rank_index,0.9631744029609915,0,P31,simple
both,pessimistic,adjusted_arithmetic_mean_rank_index,0.5872136853147046,0,P31,simple
head,optimistic,z_geometric_mean_rank,9.062119747371074,0,P31,simple
tail,optimistic,z_geometric_mean_rank,30.184599663795062,0,P31,simple
both,optimistic,z_geometric_mean_rank,42.1406725168991,0,P31,simple
head,realistic,z_geometric_mean_rank,9.06213204441233,0,P31,simple
tail,realistic,z_geometric_mean_rank,30.184599661251685,0,P31,simple
both,realistic,z_geometric_mean_rank,42.14067256614224,0,P31,simple
head,pessimistic,z_geometric_mean_rank,9.062113002885408,0,P31,simple
tail,pessimistic,z_geometric_mean_rank,30.1845996593898,0,P31,simple
both,pessimistic,z_geometric_mean_rank,42.140672258223134,0,P31,simple
head,optimistic,inverse_arithmetic_mean_rank,5.26266923657032e-07,0,P31,simple
tail,optimistic,inverse_arithmetic_mean_rank,1.1271509647910614e-05,0,P31,simple
both,optimistic,inverse_arithmetic_mean_rank,1.0055831573674693e-06,0,P31,simple
head,realistic,inverse_arithmetic_mean_rank,5.26266831002431e-07,0,P31,simple
tail,realistic,inverse_arithmetic_mean_rank,1.1271505172771867e-05,0,P31,simple
both,realistic,inverse_arithmetic_mean_rank,1.0055829307020758e-06,0,P31,simple
head,pessimistic,inverse_arithmetic_mean_rank,5.262667650916602e-07,0,P31,simple
tail,pessimistic,inverse_arithmetic_mean_rank,1.1271500573137226e-05,0,P31,simple
both,pessimistic,inverse_arithmetic_mean_rank,1.0055828317842081e-06,0,P31,simple
head,optimistic,adjusted_inverse_harmonic_mean_rank,3.3080903576229718e-06,0,P31,simple
tail,optimistic,adjusted_inverse_harmonic_mean_rank,0.15127852776063963,0,P31,simple
both,optimistic,adjusted_inverse_harmonic_mean_rank,0.07564091792936545,0,P31,simple
head,realistic,adjusted_inverse_harmonic_mean_rank,3.3080900820514504e-06,0,P31,simple
tail,realistic,adjusted_inverse_harmonic_mean_rank,0.15127852972168002,0,P31,simple
both,realistic,adjusted_inverse_harmonic_mean_rank,0.0756409236068488,0,P31,simple
head,pessimistic,adjusted_inverse_harmonic_mean_rank,3.3080898709201434e-06,0,P31,simple
tail,pessimistic,adjusted_inverse_harmonic_mean_rank,0.15127852770922257,0,P31,simple
both,pessimistic,adjusted_inverse_harmonic_mean_rank,0.07564091790341355,0,P31,simple
head,optimistic,hits_at_1,0.0,0,P31,simple
tail,optimistic,hits_at_1,0.07802197802197802,0,P31,simple
both,optimistic,hits_at_1,0.03901098901098901,0,P31,simple
head,realistic,hits_at_1,0.0,0,P31,simple
tail,realistic,hits_at_1,0.07802197802197802,0,P31,simple
both,realistic,hits_at_1,0.03901098901098901,0,P31,simple
head,pessimistic,hits_at_1,0.0,0,P31,simple
tail,pessimistic,hits_at_1,0.07802197802197802,0,P31,simple
both,pessimistic,hits_at_1,0.03901098901098901,0,P31,simple
head,optimistic,hits_at_3,0.0,0,P31,simple
tail,optimistic,hits_at_3,0.1879120879120879,0,P31,simple
both,optimistic,hits_at_3,0.09395604395604396,0,P31,simple
head,realistic,hits_at_3,0.0,0,P31,simple
tail,realistic,hits_at_3,0.1879120879120879,0,P31,simple
both,realistic,hits_at_3,0.09395604395604396,0,P31,simple
head,pessimistic,hits_at_3,0.0,0,P31,simple
tail,pessimistic,hits_at_3,0.1879120879120879,0,P31,simple
both,pessimistic,hits_at_3,0.09395604395604396,0,P31,simple
head,optimistic,hits_at_5,0.0,0,P31,simple
tail,optimistic,hits_at_5,0.24505494505494504,0,P31,simple
both,optimistic,hits_at_5,0.12252747252747252,0,P31,simple
head,realistic,hits_at_5,0.0,0,P31,simple
tail,realistic,hits_at_5,0.24505494505494504,0,P31,simple
